,Laptop Models,Operating System,Screen Size,Screen Resolution,Touchscreen,Processor,Graphics Processor,RAM,Hard Drive Capacity,Weight,Webcam,Fingerprint Scanner,Price
1177,Dell 14 3401 (D552163WIN9BE) (Intel Core i3 (11th Gen) 4GB 1TB256GB SSD HDD Windows 10) Laptop,Windows 10 Home Basic,14 inch(35.56 cm),1920 x 1080 pixels,No,Intel Core i3 (11th Gen),Intel UHD,4GB,1TB,1.58 Kg,Yes,No,"Rs. 38,890"
1178,Lenovo 14ALC7 (82R9006DIN) ( 16GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,14 inch(35.56 cm),1920 x 1200 pixels,Yes,AMD Hexa-Core Ryzen 5,AMD Radeon,16GB,512GB,1.5 Kg,Yes,Yes,"Rs. 92,290"
1179,MSI B12M-227IN (Intel Core i5 (12th Gen) 16GB 512GB SSD Windows 11) Laptop,Windows 11,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i5 (12th Gen),Intel Iris Xe,16GB,512GB,1.7 Kg,Yes,,"Rs. 45,990"
1180,Dell 3515 (D560704WIN9S) ( 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,AMD Quad-Core Ryzen 5,AMD Radeon,8GB,512GB,1.8 Kg,Yes,No,"Rs. 47,890"
1181,HP 15s-du3595TU (67V46PA) ( 8GB 256GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i3 (11th Gen),Intel UHD,8GB,256GB,1.75 Kg,Yes,,"Rs. 37,990"
1182,Acer SFX16-51G (NX.AYLSI.001) ( 16GB 1TB SSD 4GB Graphics Windows 11) Laptop,Windows 11 Home Basic,16.1 inch(40.89 cm),1920 x 1080 pixels,No,Intel Core i7 (11th Gen),NVIDIA GeForce RTX 3050 Ti,16GB,1TB,1.9 Kg,Yes,Yes,"Rs. 1,14,990"
1183,Lenovo (82SV0053IN) (Intel Core i7 (12th Gen) 16GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,14 inch(35.56 cm),2880 x 1800 pixels,No,Intel Core i7 (12th Gen),Intel Iris Xe,16GB,512GB,1.4 Kg,Yes,No,"Rs. 1,00,779"
1184,MSI A12UIS-634IN (Intel Core i7 (12th Gen) 16GB 1TB SSD 4GB Graphics Windows 11) Laptop,Windows 11 Home Basic,16 inch(40.64 cm),2560 x 1660 pixels,No,Intel Core i7 (12th Gen),NVIDIA GeForce RTX A1000,16GB,1TB,2.26 Kg,Yes,,"Rs. 89,490"
1185,Dell 3511 (D560662WIN9BE) (Intel Core i5 (11th Gen) 8GB 256GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i5 (11th Gen),Intel UHD,8GB,256GB,1.8 Kg,Yes,,"Rs. 54,000"
1186,Lenovo 16IAH7H (82RF00E1IN) (Intel Core i7 (12th Gen) 32GB 1TB SSD 8GB Graphics Windows 11) Laptop,Windows 11 Home Basic,16 inch(40.64 cm),2560 x 1600 pixels,No,Intel Core i7 (12th Gen),NVIDIA GeForce RTX 3070 Ti,32GB,1TB,2.49 Kg,Yes,,"Rs. 2,19,990"
1187,Lenovo V15 (82KDA01UIH) ( 8GB 512GB SSD ) Laptop,DOS,15.6 inch(39.62 cm),1920 x 1080 pixels,No,AMD Quad-Core Ryzen 3,AMD Integrated,8GB,512GB,1.70 Kg,Yes,,"Rs. 33,790"
1188,Lenovo 5 15ACH6H (82JU00SYIN) ( 16GB 1TB SSD 6GB Graphics Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,,AMD Octa-Core Ryzen 7,NVIDIA GeForce RTX 3060,16GB,1TB,2.4 Kg,Yes,,"Rs. 1,14,990"
1189,Avita NS14A6INU442 (Ryzen 3 4GB 256GB SSD Windows 10) Laptop,Windows 10 Home Basic,14 inch(35.56 cm),1920 x 1080 pixels,No,AMD Dual-Core Ryzen 3,AMD Radeon Vega 3,4GB,256GB,1.34 Kg,Yes,No,"Rs. 32,500"
1190,HP G8 (62G68PA) ( 8GB 1TB HDD Windows 11) Laptop,Windows 11 Home Basic,14 inch(35.56 cm),1920 x 1080 pixels,No,AMD Dual-Core Ryzen 3,AMD Radeon,8GB,1TB,1.69 Kg,Yes,No,"Rs. 29,490"
1191,Samsung Samsung 3 Ultra NP960XFH-XA1IN ( 32GB 1TB SSD Windows 11) Laptop,Windows 11 Home Basic,16 inch(40.64 cm),2880 x 1800 pixels,No,Intel Core i9 (13th Gen),NVIDIA GeForce RTX 4070,32GB,1TB,1.79 Kg,Yes,Yes,"Rs. 2,81,990"
1192,Dell G15-5525 (D560894WIN9S) ( 16GB 512GB SSD 6GB Graphics Windows 11) Laptop,Windows 11,15.6 inch(39.62 cm),1920 x 1080 pixels,No,AMD Octa-Core Ryzen 7,NVIDIA GeForce RTX 3060,16GB,512GB,2.51 Kg,Yes,,"Rs. 94,990"
1193,Asus GA503RMZ-HQ153WS ( 16GB 1TB SSD 6GB Graphics Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),2560 x 1440 pixels,No,AMD Octa-Core Ryzen 7,NVIDIA GeForce RTX 3060,16GB,1TB,1.90 Kg,Yes,,"Rs. 1,10,990"
1194,Dell 3511 (D560677WIN9BE) (Intel Core i3 (10th Gen) 8GB 1TB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i3 (10th Gen),Intel UHD,8GB,1TB,1.8 Kg,Yes,No,"Rs. 37,890"
1195,Lenovo V15 ITL (82KBA03JIH) (Intel Core i3 (11th Gen) 8GB 512GB SSD Windows 11) Laptop,Windows 11,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i3 (11th Gen),Intel Integrated,8GB,512GB,2.49 Kg,Yes,,"Rs. 37,029"
1196,Acer A315-24 (NX.KDESI.004) ( 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,AMD Quad-Core Ryzen 5,AMD Radeon,8GB,512GB,1.78 Kg,Yes,,"Rs. 38,990"
